SampleID	TG(26:0/18:1/18:2)	DG(22:1/18:2)	DG(18:1/22:1)	TG(18:1/22:1/24:1)	TG(18:1/18:2/22:1)	TG(18:1/18:2/22:0)	TG(22:1/18:2/22:1)	SM(d34:1)	TG(18:1/22:1/24:0)	TG(24:4/16:0/18:1)
CPR_09	1.19321309780497	0.844564139849483	0.979345139468008	1.05770117618895	1.16591837369405	1.20821512653821	0.906584742042772	1.91102748470184	0.91710898166519506	1.01285369061814
CPR_10	2.30340044570824	1.88987269747992	1.8790957381308	2.26567413187564	2.17210625965518	1.9845751268649	2.43674067273037	1.15490993246536	2.14939784291919	2.36495398886847
CPR_11	1.21333746411691	0.777279563917965	0.808485843286432	1.06386007566331	1.01888893982144	1.04614670113856	1.05151811740079	1.53406153412091	0.960478363298555	0.86539627762439
CPR_12	2.24901502896312	1.70347794908952	1.73230168800792	2.17356672324466	2.11443590242943	1.97247889994645	2.24573134364719	2.42671453809989	2.08851930448755	2.3478143934618
CPR_13	1.13355503199918	0.738397240858252	0.833522669698816	1.14072625613032	0.7718002799467	0.939343644198781	0.730627402531495	1.43363171304967	1.27852960258742	0.666537650698364
CPR_14	2.07214212266813	2.13859465507905	2.08778117799072	1.83452265969418	2.10614209604418	1.99150466853702	2.1560834814761	1.00964139497504	1.54031059239669	2.28225950062749
CPR_15	1.76110879365158	2.18022699180728	2.06227179407896	1.41982459031587	1.9858547457768	1.88596549798288	1.77789636893036	1.79271304025844	1.07563801661622	2.02699634763478
CPR_16	-0.319407336310221	-0.0041665618852224	-0.0766016336888514	-0.0293164316798182	-0.381318471222737	-0.14881600611059	-0.739486147328606	1.30760178405321	0.140516877713524	-0.611452607481738
CPR_17	1.04480005210902	1.09249199660182	1.0021917217293	1.16600805158619	0.936146232129256	1.07426280273951	0.911267385587395	1.88935530202953	1.22706950415269	0.92411652320049
CPR_18	1.42214429464852	1.42844855649451	1.45812859531973	1.39613798440159	1.42494016557656	1.50891920003337	1.37500245794919	2.28352718809785	1.31029921875413	1.33801739873206
