ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
5.49_774.530323337349	PC(14:0/18:2)	1.20669058634151	-0.171455351120976	VIP <1	0.600566892217244	Normal
5.5_835.533513921687	PI(34:2)	0.450993412693311	0.146381562250411	VIP <1	0.516680213505238	Normal
5.5_852.560062198795	PI(34:2)(rep)	0.538602836967488	0.156883794123611	VIP <1	0.564373204028054	Normal
5.53_753.590505969697	SM(d38:4)	3.96714754380537	0.675621240691516	VIP >=1	1.09030343655583	Up
5.56_745.551109	SM(d34:2)(rep)(rep)	24.8156864540648	-1.46008127534529	VIP >=1	2.59800182663984	Down
5.56_792.554206716867	PC(37:6)(rep)	0.0421911140757606	-0.0272887040617051	VIP <1	0.465067261964724	Normal
5.57_701.55933	SM(d34:2)(rep)	12.7157526769116	-1.05921494802727	VIP >=1	2.07736286557376	Down
5.57_836.545691554217	PC(15:0/22:6)	0.0104741482874538	-0.0293587864560874	VIP <1	0.461127205403111	Normal
5.58_859.535517253012	PI(16:0/20:3)	0.321657777722279	-0.103304885059101	VIP <1	0.504744181343695	Normal
5.63_861.548834650602	PI(36:3)	1.33188620703746	0.338642159638051	VIP <1	0.665512815175346	Normal
5.63_878.575606891566	PI(36:3)(rep)	1.41729695792929	0.364018017949329	VIP <1	0.70537049709158	Normal
5.64_756.554097331325	PC(34:3)(rep)	1.05864763642906	0.255681843780072	VIP <1	0.489560745190851	Normal
5.64_778.53803427439	PC(36:6)(rep)(rep)(rep)	0.0463234188729871	-0.0941101586836155	VIP <1	0.165927742873748	Normal
5.65_800.545970204819	PC(16:1/18:2)	0.735059168047748	0.208757691099621	VIP <1	0.425171969122831	Normal
5.65_804.553996285714	PC(38:7)(rep)(rep)(rep)(rep)	0.06399656129277	-0.0104562188820473	VIP <1	0.322093418647834	Normal
5.67_806.570064331325	PC(38:6)(rep)	0.0547309010755429	-0.00887577742430224	VIP <1	0.187378713449936	Normal
5.67_828.553583716867	PC(40:9)(rep)	0.305515806801235	0.103931027997037	VIP <1	0.203324360073231	Normal
5.68_689.559365656626	SM(d33:1)	0.15330892531911	0.070677111716353	VIP <1	0.481753666012372	Normal
5.68_711.54299663253	SM(d35:4)	0.28176254581169	0.187243431915111	VIP <1	0.676036606280954	Normal
5.69_733.551087228916	SM(d33:1)(rep)	0.059664434007221	0.0193861588384959	VIP <1	0.595902768774071	Normal
5.69_850.561818566265	PC(18:2/20:4)(rep)	0.159499302527237	-0.0228388997873795	VIP <1	0.188041853999079	Normal
5.69_871.535449873494	PI(17:0/20:4)	0.215075178208674	0.153625334682621	VIP <1	0.416115929225222	Normal
5.7_742.539268240964	dMePE(34:2)	0.0012100833383801	0.096729852073129	VIP <1	0.421435446934934	Normal
5.7_818.569424042169	PC(39:7)	0.42236774628821	0.125831458970109	VIP <1	0.495261492080344	Normal
5.72_885.550024313043	PI(18:1/20:3)(rep)	0.06399656129277	0.126785052456689	VIP <1	0.516983790209801	Normal
5.73_765.576931481928	phSM(d18:0/16:0)	1.1433204237711	-0.192182850605808	VIP <1	0.685275105697505	Normal
5.73_780.554298825301	PC(36:5)(rep)(rep)(rep)(rep)	0.287345313445301	0.189784366904363	VIP <1	0.559529246802423	Normal
5.73_802.535747933735	PC(38:8)(rep)(rep)	0.387103200184112	0.19122795527358	VIP <1	0.477061295738266	Normal
5.73_832.585318596385	PC(40:7)	1.48341622630045	0.332920404145301	VIP <1	0.602870081309903	Normal
5.74_824.54630996988	PC(16:0/20:5)	0.196123260130057	0.186678634582965	VIP <1	0.571444134635427	Normal
5.75_876.576287554217	PC(22:5/18:2)	0.66526700941223	0.23761168592114	VIP <1	0.421325889266243	Normal
5.76_824.545297608434	PS(39:4)	0.15634295413189	0.171210402554961	VIP <1	0.561346055766216	Normal
5.77_764.558887324324	PC(36:5p)	2.05393363761626	-1.21198226794601	VIP >=1	1.53712918509447	Down
5.81_1227.75841960843	CerG3GNAc1(d34:1)	0.383123076842253	0.122122013259258	VIP <1	0.49330459374457	Normal
5.81_902.575313578313	PI(18:0/20:5)	0.124639118925232	0.129711376083564	VIP <1	0.651707405604656	Normal
5.84_727.5748876	SM(d36:3)(rep)	2.2103665067166	-0.315468356562779	VIP >=1	1.10466664612053	Down
5.85_703.575326	SM(d34:1)	15.7908515558073	-2.76041250928815	VIP >=1	3.9051391157559	Down
5.89_859.534553222222	PI(18:0/18:3)	0.442290387774874	0.492037088280294	VIP <1	0.820923399296218	Normal
5.89_861.5487615	PI(36:3)(rep)(rep)(rep)	0.293129906902199	-0.101997727255427	VIP <1	0.476525977865809	Normal
5.89_878.575322656626	PI(36:3)(rep)(rep)	0.195063550012455	-0.057135936947014	VIP <1	0.465154909129013	Normal
5.9_715.575121801205	SM(d35:2)	1.6528309911978	0.273997947953537	VIP <1	0.653726808207808	Normal
5.91_718.538145240964	PC(31:1)	0.138369894622205	0.192443293761282	VIP <1	0.488987206207555	Normal
5.91_753.590559169697	SM(d38:4)(rep)	3.3865782676736	0.692792746080176	VIP >=1	1.18480766734998	Up
5.91_759.566440536145	SM(d35:2)(rep)	0.811708280049033	0.223069322422033	VIP <1	0.634038370291779	Normal
5.91_847.534945331325	PI(17:0/18:2)	2.05393363761626	0.391793487700069	VIP <1	0.812203094184487	Normal
5.94_782.570000626506	PC(36:4)	0.324072350392338	0.143209058967972	VIP <1	0.366071046786869	Normal
5.94_804.552852451807	PC(38:7)(rep)(rep)(rep)(rep)(rep)	1.57586424570806	0.21442554853136	VIP <1	0.500613477230602	Normal
5.94_856.58517223494	PC(42:9)(rep)	4.37942454599801	-0.629904207371206	VIP >=1	1.46204581374794	Down
5.95_756.554056395062	PC(34:3)(rep)(rep)	0.293514084066334	0.130210322456401	VIP <1	0.320828678473094	Normal
5.95_826.562194722892	PC(18:2/18:2)	0.526683007015384	0.173093741969695	VIP <1	0.399026334442687	Normal
5.96_800.545738644578	PC(16:0/18:3)	0.278509883259192	0.100774695189633	VIP <1	0.240948594682933	Normal
5.98_1179.7373588253	GM3(d36:1)	0.109661476569345	0.0856507775145819	VIP <1	0.565253841664568	Normal
